# 医学用語ルビ辞書（TSV: 用語<TAB>よみ）
# 先頭が # の行は無視。同じ用語が複数ある場合は先の行を優先。
# 形式例:	心筋梗塞	しんきんこうそく
心筋梗塞	しんきんこうそく
急性腎障害	きゅうせいじんしょうがい
肝不全	かんふぜん
肝硬変	かんこうへん
膵炎	すいえん
胆石	たんせき
胆嚢炎	たんのうえん
虫垂炎	ちゅうすいえん
腸閉塞	ちょうへいそく
イレウス	いれうす
消化管穿孔	しょうかかんせんこう
腹膜炎	ふくまくえん
気胸	ききょう
緊張性気胸	きんちょうせいききょう
肺炎	はいえん
誤嚥性肺炎	ごえんせいはいえん
喘息	ぜんそく
COPD	しーおーぴーでぃー
ARDS	えーあーるでぃーえす
DIC	でぃーあいしー
CRP	しーあーるぴー
Troponin	とろぽにん
トロポニン	とろぽにん
クレアチニン	くれあちにん
ビリルビン	びりるびん
アミラーゼ	あみらーぜ
リパーゼ	りぱーぜ
乳酸	にゅうさん
アシドーシス	あしどーしす
アルカローシス	あるかろーしす
低酸素血症	ていさんそけつしょう
高炭酸ガス血症	こうたんさんがすけつしょう
低血圧	ていけつあつ
高血圧	こうけつあつ
頻脈	ひんみゃく
徐脈	じょみゃく
頻呼吸	ひんこきゅう
徐呼吸	じょこきゅう
チアノーゼ	ちあのーぜ
冷汗	れいかん
ショック	しょっく
心原性ショック	しんげんせいしょっく
出血性ショック	しゅっけつせいしょっく
循環血液量減少性ショック	じゅんかんけつえきりょうげんしょうせいしょっく
末梢循環不全	まっしょうじゅんかんふぜん
中心静脈圧	ちゅうしんじょうみゃくあつ
動脈血ガス	どうみゃくけつがす
血液ガス	けつえきがす
動脈ライン	どうみゃくらいん
末梢ルート	まっしょうるーと
中心静脈カテーテル	ちゅうしんじょうみゃくかてーてる
気管切開	きかんせっかい
人工呼吸器	じんこうこきゅうき
非侵襲的陽圧換気	ひしんしゅうてきようあつかんき
持続的腎代替療法	じぞくてきじんだいたいりょうほう
血液培養	けつえきばいよう
喀痰	かくたん
胸水	きょうすい
腹水	ふくすい
胸腔穿刺	きょうくうせんし
腹腔穿刺	ふくくうせんし
腰椎穿刺	ようついせんし
気管支鏡	きかんしきょう
内視鏡	ないしきょう
開腹術	かいふくじゅつ
緊急手術	きんきゅうしゅじゅつ
待機手術	たいきしゅじゅつ
術後	じゅつご
術前	じゅつぜん
麻酔導入	ますいどうにゅう
意識レベル	いしきれべる
対光反射	たいこうはんしゃ
瞳孔不同	どうこうふどう
病的反射	びょうてきはんしゃ
バビンスキー徴候	ばびんすきーちょうこう
髄膜刺激徴候	ずいまくしげきちょうこう
項部硬直	こうぶこうちょく
ケルニッヒ徴候	けるにっひちょうこう
ＪＣＳ	じぇーしーえす
ＧＣＳ	じーしーえす
ＳＯＦＡ	そーふぁ
ｑＳＯＦＡ	きゅーそーふぁ
ＳＩＲＳ	さーず
ＭＲＳＡ	えむあーるえすえー
ＥＳＢＬ	いーえすびーえる
緑膿菌	りょくのうきん
肺炎球菌	はいえんきゅうきん
大腸菌	だいちょうきん
カンジダ	かんじだ
アスペルギルス	あすぺるぎるす
マイコプラズマ	まいこぷらずま
レジオネラ	れじおねら
サイトメガロウイルス	さいとめがろういるす
インフルエンザ	いんふるえんざ
新型コロナ	しんがたころな
結核	けっかく
悪性腫瘍	あくせいしゅよう
転移	てんい
生検	せいけん
病理診断	びょうりしんだん
鑑別診断	かんべつしんだん
確定診断	かくていしんだん
予後	よご
寛解	かんかい
再発	さいはつ
合併症	がっぺいしょう
副作用	ふくさよう
禁忌	きんき
適応	てきおう
インフォームドコンセント	いんふぉーむどこんせんと
説明と同意	せつめいとどうい
家族説明	かぞくせつめい
救急外来	きゅうきゅうがいらい
集中治療室	しゅうちゅうちりょうしつ
ＩＣＵ	あいしーゆー
ＥＲ	いーあーる
病棟	びょうとう
回診	かいしん
モニター	もにたー
除細動	じょさいどう
電気的除細動	でんきてきじょさいどう
心肺停止	しんぱいていし
心肺蘇生	しんぱいそせい
自己心拍再開	じこしんぱくさいかい
脳死	のうし
臓器移植	ぞうきいしょく
輸血	ゆけつ
濃厚赤血球	のうこうせっけっきゅう
新鮮凍結血漿	しんせんとうけつけっしょう
血小板製剤	けっしょうばんせいざい
アレルギー	あれるぎー
蕁麻疹	じんましん
血管浮腫	けっかんふしゅ
喉頭浮腫	こうとうふしゅ
気道閉塞	きどうへいそく
誤嚥	ごえん
窒息	ちっそく
骨折	こっせつ
脱臼	だっきゅう
挫傷	ざしょう
裂傷	れっしょう
熱傷	ねっしょう
凍傷	とうしょう
中毒	ちゅうどく
過量投与	かりょうとうよ
離脱症状	りだつしょうじょう
せん妄	せんもう
認知症	にんちしょう
うつ病	うつびょう
統合失調症	とうごうしっちょうしょう
パニック発作	ぱにっくほっさ
自殺企図	じさつきと
自傷行為	じしょうこうい
